object,survey,pdf,reason
HD 171348,GOODS: Chandra ACIS HB,1995ApJS___96__605S,no survey
HD 171348,GOODS: Chandra ACIS FB,1995ApJS___96__605S,no survey
HD 171348,GOODS: Chandra ACIS SB,1995ApJS___96__605S,no survey
HD 171348,GOODS: VLT VIMOS U,1995ApJS___96__605S,no survey
HD 171348,GOODS: VLT VIMOS R,1995ApJS___96__605S,no survey
HD 171348,GOODS: HST ACS B,1995ApJS___96__605S,no survey
HD 171348,GOODS: HST ACS V,1995ApJS___96__605S,no survey
HD 171348,GOODS: HST ACS I,1995ApJS___96__605S,no survey
HD 171348,GOODS: HST ACS Z,1995ApJS___96__605S,no survey
HD 171348,Hawaii HDF U,1995ApJS___96__605S,no survey
HD 171348,Hawaii HDF B,1995ApJS___96__605S,no survey
HD 171348,Hawaii HDF V0201,1995ApJS___96__605S,no survey
HD 171348,Hawaii HDF V0401,1995ApJS___96__605S,no survey
HD 171348,Hawaii HDF R,1995ApJS___96__605S,no survey
HD 171348,Hawaii HDF I,1995ApJS___96__605S,no survey
HD 171348,Hawaii HDF z,1995ApJS___96__605S,no survey
HD 171348,Hawaii HDF HK,1995ApJS___96__605S,no images
HD 171348,GOODS: HST NICMOS,1995ApJS___96__605S,no survey
HD 171348,GOODS: VLT ISAAC J,1995ApJS___96__605S,no survey
HD 171348,GOODS: VLT ISAAC H,1995ApJS___96__605S,no survey
HD 171348,GOODS: VLT ISAAC Ks,1995ApJS___96__605S,no survey
HD 171348,HUDF: VLT ISAAC Ks,1995ApJS___96__605S,no survey
HD 171348,GOODS: Spitzer IRAC 3.6,1995ApJS___96__605S,no survey
HD 171348,GOODS: Spitzer IRAC 4.5,1995ApJS___96__605S,no survey
HD 171348,GOODS: Spitzer IRAC 5.8,1995ApJS___96__605S,no survey
HD 171348,GOODS: Spitzer IRAC 8.0,1995ApJS___96__605S,no survey
HD 171348,GOODS: Spitzer MIPS 24,1995ApJS___96__605S,no survey
HD 171348,GOODS: Herschel 100,1995ApJS___96__605S,no survey
HD 171348,GOODS: Herschel 160,1995ApJS___96__605S,no survey
HD 171348,GOODS: Herschel 250,1995ApJS___96__605S,no survey
HD 171348,GOODS: Herschel 350,1995ApJS___96__605S,no survey
HD 171348,GOODS: Herschel 500,1995ApJS___96__605S,no survey
HD 171348,CDFS: LESS,1995ApJS___96__605S,no survey
HD 171348,GOODS: VLA North,1995ApJS___96__605S,no survey
NGC  3187,SHASSA H,1946ApJ___104__211L,no survey
NGC  3187,SHASSA CC,1946ApJ___104__211L,no survey
NGC  3187,SHASSA C,1946ApJ___104__211L,no survey
NGC  3187,SHASSA Sm,1946ApJ___104__211L,no survey
NGC  3187,GOODS: Chandra ACIS HB,1946ApJ___104__211L,no survey
NGC  3187,GOODS: Chandra ACIS FB,1946ApJ___104__211L,no survey
NGC  3187,GOODS: Chandra ACIS SB,1946ApJ___104__211L,no survey
NGC  3187,GOODS: VLT VIMOS U,1946ApJ___104__211L,no survey
NGC  3187,GOODS: VLT VIMOS R,1946ApJ___104__211L,no survey
NGC  3187,GOODS: HST ACS B,1946ApJ___104__211L,no survey
NGC  3187,GOODS: HST ACS V,1946ApJ___104__211L,no survey
NGC  3187,GOODS: HST ACS I,1946ApJ___104__211L,no survey
NGC  3187,GOODS: HST ACS Z,1946ApJ___104__211L,no survey
NGC  3187,Hawaii HDF U,1946ApJ___104__211L,no survey
NGC  3187,Hawaii HDF B,1946ApJ___104__211L,no survey
NGC  3187,Hawaii HDF V0201,1946ApJ___104__211L,no survey
NGC  3187,Hawaii HDF V0401,1946ApJ___104__211L,no survey
NGC  3187,Hawaii HDF R,1946ApJ___104__211L,no survey
NGC  3187,Hawaii HDF I,1946ApJ___104__211L,no survey
NGC  3187,Hawaii HDF z,1946ApJ___104__211L,no survey
NGC  3187,Hawaii HDF HK,1946ApJ___104__211L,no images
NGC  3187,GOODS: HST NICMOS,1946ApJ___104__211L,no survey
NGC  3187,GOODS: VLT ISAAC J,1946ApJ___104__211L,no survey
NGC  3187,GOODS: VLT ISAAC H,1946ApJ___104__211L,no survey
NGC  3187,GOODS: VLT ISAAC Ks,1946ApJ___104__211L,no survey
NGC  3187,HUDF: VLT ISAAC Ks,1946ApJ___104__211L,no survey
NGC  3187,GOODS: Spitzer IRAC 3.6,1946ApJ___104__211L,no survey
NGC  3187,GOODS: Spitzer IRAC 4.5,1946ApJ___104__211L,no survey
NGC  3187,GOODS: Spitzer IRAC 5.8,1946ApJ___104__211L,no survey
NGC  3187,GOODS: Spitzer IRAC 8.0,1946ApJ___104__211L,no survey
