object,survey,pdf,reason
EUVE J1436-38.2,DSS1 Blue,1996ApJS__102__129B,no survey
EUVE J1436-38.2,DSS1 Red,1996ApJS__102__129B,no survey
[TP95] ESO 377-24 29,DSS1 Blue,1995ApJS__101__287T,no survey
[TP95] ESO 377-24 29,DSS1 Red,1995ApJS__101__287T,no survey
BD-18  4989,Mellinger Red,1960ApJ___131__620J,exception
BD-18  4989,Mellinger Green,1960ApJ___131__620J,exception
BD-18  4989,Mellinger Blue,1960ApJ___131__620J,exception
BD-18  4989,SHASSA H,1960ApJ___131__620J,no survey
BD-18  4989,SHASSA CC,1960ApJ___131__620J,no survey
BD-18  4989,SHASSA C,1960ApJ___131__620J,no survey
BD-18  4989,SHASSA Sm,1960ApJ___131__620J,no survey
TYC 8324-2193-1,Mellinger Red,1972AJ_____77__463D,exception
TYC 8324-2193-1,Mellinger Green,1972AJ_____77__463D,exception
TYC 8324-2193-1,Mellinger Blue,1972AJ_____77__463D,exception
TYC 8324-2193-1,SHASSA H,1972AJ_____77__463D,no survey
TYC 8324-2193-1,SHASSA CC,1972AJ_____77__463D,no survey
TYC 8324-2193-1,SHASSA C,1972AJ_____77__463D,no survey
TYC 8324-2193-1,SHASSA Sm,1972AJ_____77__463D,no survey
CXOU J132554.5-425924,Mellinger Red,1986ApJ___303L__51H,exception
CXOU J132554.5-425924,Mellinger Green,1986ApJ___303L__51H,exception
CXOU J132554.5-425924,Mellinger Blue,1986ApJ___303L__51H,exception
CXOU J132554.5-425924,SHASSA H,1986ApJ___303L__51H,no survey
CXOU J132554.5-425924,SHASSA CC,1986ApJ___303L__51H,no survey
CXOU J132554.5-425924,SHASSA C,1986ApJ___303L__51H,no survey
CXOU J132554.5-425924,SHASSA Sm,1986ApJ___303L__51H,no survey
PKS 0354-48,WENSS,1970AJ_____75__667B,no survey
PKS 0354-48,VLSSr,1970AJ_____75__667B,no survey
QSO B1635+267A,Mellinger Red,1984ApJ___282L___1D,exception
QSO B1635+267A,Mellinger Green,1984ApJ___282L___1D,exception
QSO B1635+267A,Mellinger Blue,1984ApJ___282L___1D,exception
QSO B1635+267A,SHASSA H,1984ApJ___282L___1D,no survey
QSO B1635+267A,SHASSA CC,1984ApJ___282L___1D,no survey
QSO B1635+267A,SHASSA C,1984ApJ___282L___1D,no survey
QSO B1635+267A,SHASSA Sm,1984ApJ___282L___1D,no survey
HD 209470,Mellinger Red,1984ApJS___54__271C,exception
HD 209470,Mellinger Green,1984ApJS___54__271C,exception
HD 209470,Mellinger Blue,1984ApJS___54__271C,exception
HD 209470,SHASSA H,1984ApJS___54__271C,no survey
HD 209470,SHASSA CC,1984ApJS___54__271C,no survey
HD 209470,SHASSA C,1984ApJS___54__271C,no survey
HD 209470,SHASSA Sm,1984ApJS___54__271C,no survey
[MTG95] C-508,DSS,1995AJ____109__173M,no survey
[MTG95] C-508,DSS1 Blue,1995AJ____109__173M,no survey
[MTG95] C-508,DSS1 Red,1995AJ____109__173M,no survey
[MTG95] C-508,DSS2 Red,1995AJ____109__173M,no survey
[MTG95] C-508,DSS2 Blue,1995AJ____109__173M,no survey
[MTG95] C-508,DSS2 IR,1995AJ____109__173M,no survey
G 272-61,Mellinger Red,1994ApJS___93__569B,exception
G 272-61,Mellinger Green,1994ApJS___93__569B,exception
G 272-61,Mellinger Blue,1994ApJS___93__569B,exception
G 272-61,SHASSA H,1994ApJS___93__569B,no survey
G 272-61,SHASSA CC,1994ApJS___93__569B,no survey
G 272-61,SHASSA C,1994ApJS___93__569B,no survey
G 272-61,SHASSA Sm,1994ApJS___93__569B,no survey
* zet01 Cnc,Mellinger Red,1987AJ_____93__688M,exception
* zet01 Cnc,Mellinger Green,1987AJ_____93__688M,exception
* zet01 Cnc,Mellinger Blue,1987AJ_____93__688M,exception
* zet01 Cnc,SHASSA H,1987AJ_____93__688M,no survey
* zet01 Cnc,SHASSA CC,1987AJ_____93__688M,no survey
* zet01 Cnc,SHASSA C,1987AJ_____93__688M,no survey
* zet01 Cnc,SHASSA Sm,1987AJ_____93__688M,no survey
Cl* NGC 2070     MH     811,DSS1 Blue,1994AJ____107_1054M,no survey
Cl* NGC 2070     MH     811,DSS1 Red,1994AJ____107_1054M,no survey
PSR B0450-18,VLA FIRST (1.4 GHz),1985ApJ___288__221C,no survey
PSR B0450-18,Stripe82VLA,1985ApJ___288__221C,no survey
[GBM92] Cl 0043-25  24,DSS,1992AJ____104_1290G,no survey
[GBM92] Cl 0043-25  24,DSS1 Blue,1992AJ____104_1290G,no survey
[GBM92] Cl 0043-25  24,DSS1 Red,1992AJ____104_1290G,no survey
[GBM92] Cl 0043-25  24,DSS2 Red,1992AJ____104_1290G,no survey
[GBM92] Cl 0043-25  24,DSS2 Blue,1992AJ____104_1290G,no survey
[GBM92] Cl 0043-25  24,DSS2 IR,1992AJ____104_1290G,no survey
LHA 115-N  38,DSS1 Blue,1980ApJS___42____1J,no survey
LHA 115-N  38,DSS1 Red,1980ApJS___42____1J,no survey
MAC 1-362,Mellinger Red,1995ApJS___98__595H,exception
MAC 1-362,Mellinger Green,1995ApJS___98__595H,exception
MAC 1-362,Mellinger Blue,1995ApJS___98__595H,exception
MAC 1-362,SHASSA H,1995ApJS___98__595H,no survey
MAC 1-362,SHASSA CC,1995ApJS___98__595H,no survey
MAC 1-362,SHASSA C,1995ApJS___98__595H,no survey
MAC 1-362,SHASSA Sm,1995ApJS___98__595H,no survey
NGC  3254,IRAS  12 micron,1960ApJ___131__558V,no images
NGC  3254,IRAS  25 micron,1960ApJ___131__558V,no images
NGC  3254,IRAS  60 micron,1960ApJ___131__558V,no images
NGC  3254,IRAS 100 micron,1960ApJ___131__558V,no survey
LB  5810,IRAS  12 micron,1982ApJ___255__245A,no images
LB  5810,IRAS  25 micron,1982ApJ___255__245A,no images
LB  5810,IRAS  60 micron,1982ApJ___255__245A,no images
LB  5810,IRAS 100 micron,1982ApJ___255__245A,no survey
NGC  6259  2003,Mellinger Red,1989AJ_____97_1048A,exception
NGC  6259  2003,Mellinger Green,1989AJ_____97_1048A,exception
NGC  6259  2003,Mellinger Blue,1989AJ_____97_1048A,exception
NGC  6259  2003,SHASSA H,1989AJ_____97_1048A,no survey
NGC  6259  2003,SHASSA CC,1989AJ_____97_1048A,no survey
NGC  6259  2003,SHASSA C,1989AJ_____97_1048A,no survey
NGC  6259  2003,SHASSA Sm,1989AJ_____97_1048A,no survey
Cl* Melotte   25     VA     104,Mellinger Red,1969AJ_____74____2V,exception
Cl* Melotte   25     VA     104,Mellinger Green,1969AJ_____74____2V,exception
Cl* Melotte   25     VA     104,Mellinger Blue,1969AJ_____74____2V,exception
Cl* Melotte   25     VA     104,SHASSA H,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     104,SHASSA CC,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     104,SHASSA C,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     104,SHASSA Sm,1969AJ_____74____2V,no survey
UGC  3737,IRAS  12 micron,1987ApJ___320___49B,no images
UGC  3737,IRAS  25 micron,1987ApJ___320___49B,no images
UGC  3737,IRAS  60 micron,1987ApJ___320___49B,no images
UGC  3737,IRAS 100 micron,1987ApJ___320___49B,no survey
