object,otype,majaxis_arcmin,minaxis_arcmin
*   1 Cas,*,,
*   1 Gem,**,0.0017,0.0
*   1 Vul,SB*,,
*   2 And,**,,
*   2 Cet,*,,
*   2 Cyg,**,,
*   2 Sco,**,,
*   2 Sex,PM*,,
*   2 UMi,PM*,,
*   3 Cen,**,,
*   3 Cet,s*r,,
*   3 Gem,s*b,0.01,0.0
*   4 CVn,dS*,,
*   5 LMi,PM*,,
*   5 UMi,*,,
*   6 Cep,Be*,,
*   6 Gem,s*r,,
*   6 Leo,*,,
*   8 Lac A,Be*,,
*   8 Lep,SB*,,
*   9 Aur,gD*,,
*   9 Cep,s*b,,
*   9 Cyg,SB*,,
*   9 Peg,*,,
*   9 Pup,**,,
*   9 Sge,s*b,,
*   9 Sgr,Y*O,,
*  10 Cas,Be*,,
*  10 LMi,RS*,,
*  10 Lac,**,0.06,0.0
*  10 Per,s*b,,
*  10 UMa,SB*,0.01,0.0
*  10 Vul,*,,
*  11 Aql,PM*,,
*  11 CMa,*,,
*  11 Cam,Be*,,
*  11 Gem,bC*,,
*  11 Sco,*,,
*  11 Sgr,Or*,,
*  12 Com,SB*,,
*  12 Peg,s*r,,
*  13 Cep,s*b,,
*  13 Lyn,*,,
*  13 Lyr,LP*,,
*  13 Tau,Be*,,
*  14 Aur,dS*,,
*  14 Com,*,,
*  14 Peg,SB*,,
*  15 Boo,PM*,,
*  15 Cyg,PM*,,
*  15 Mon,Be*,,
*  15 Peg,PM*,,
*  15 Sgr,s*b,,
*  16 Lac,bC*,,
*  16 Per,dS*,,
*  16 Ser,SB*,,
*  16 Tau,*,,
*  17 Com,a2*,,
*  17 Cyg,PM*,,
*  17 Lep,Sy*,,
*  17 Per,PM*,,
*  17 Tau,Be*,,
*  18 Aqr,PM*,,
*  18 Oph,*,,
*  18 Tau,PM*,,
*  19 Psc,C*,,
*  20 Aql,*,,
*  20 Boo,PM*,,
*  20 CVn,dS*,,
*  20 Cap,a2*,,
*  20 Crt,PM*,,
*  20 Eri,a2*,0.0017,0.0
*  20 UMi,PM*,,
*  21 Aql,a2*,,
*  21 LMi,dS*,,
*  21 Lyn,PM*,,
*  21 Ori,PM*,,
*  21 Per,a2*,,
*  22 And,*,,
*  22 Lyn,PM*,,
*  22 Psc,*,,
*  22 Tau,**,,
*  23 Ori,SB*,,
*  23 Tau,Be*,,
*  24 Psc,**,,
*  24 Tau,*,,
*  24 UMi,PM*,,
*  25 Gem,*,,
*  25 Her,**,,
*  25 Mon,dS*,,
*  25 Peg,Be*,,
*  25 Ser,SB*,,
*  26 Aur,**,0.0033,0.0
*  26 Cep,s*b,,
*  26 Dra,SB*,,
*  26 Hya,**,,
*  27 CMa,Be*,0.0017,0.0
*  27 Mon,PM*,,
*  28 Tau,Be*,,
*  29 Ari,SB*,,
*  29 CMa,SB*,,
*  29 Per,Pu*,,
*  31 Com,*,,
*  31 Crt,SB*,,
*  31 Cyg,SB*,,
*  31 Lyn,LP*,,
*  32 Aqr,SB*,,
*  32 Boo,PM*,,
*  32 Ori,**,,
